ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
389,AT,Suspicious Communications and Anomalous System Behavior,AT-03.04.01.01,The organization defines indicators of malicious code.,#N/A
390,AT,Suspicious Communications and Anomalous System Behavior,AT-03.04.02.01,The organization provides training to its personnel on organization-defined indicators of malicious code to recognize suspicious communications and anomalous behavior in organizational information systems.,#N/A
391,AT,"Security Training, Criteria",AT-03.05.01.01,"The  (Section 3.0) defines significant information security roles, such as and OU CIOs. Privacy Officers and OU Privacy Act Officers. AOs. SOs. IOs. and OU CISOs/SAISOs. CAs. ITSOs/SAISOs, ISSOs. Contingency Plan Personnel. and IT Security Incident Response Personnel. The OUs must ensure that these roles are provided specialized training within the first sixty (60) business days from role appointment notification.",#N/A
392,AT,"Security Training, Criteria",AT-03.05.02.01,"The  (Section 3.0) defines significant information security roles, such as and OU CIOs. Privacy Officers and OU Privacy Act Officers. AOs. SOs. IOs. and OU CISOs/SAISOs. CAs. ITSOs/SAISOs, ISSOs. Contingency Plan Personnel. and IT Security Incident Response Personnel. The OUs must ensure that, according to role appointment, notification must be made within the first thirty (30) business days of appointment.",#N/A
393,AT,"Security Training, Criteria",AT-03.05.03.01,"The  (Section 3.0) defines significant information security roles, such as and OU CIOs. Privacy Officers and OU Privacy Act Officers. AOs. SOs. IOs. and OU CISOs/SAISOs. CAs. ITSOs/SAISOs, ISSOs. Contingency Plan Personnel. and IT Security Incident Response Personnel. The OUs must ensure that thereafter, refresher training for each role must be accomplished annually based on fiscal year.",#N/A
394,AT,"Security Training, Criteria",AT-03.06.01.01,"Since there are numerous management, technical, and operational roles that include elements of information security, each OU is encouraged to define such roles based on need and/or specific areas that require skill enhancement.",#N/A
395,AT,"Security Training, Criteria",AT-03.07.01.01,"If a user refuses to engage in or cannot meet the training requirements due to extenuating circumstances: 
1) Access to information and resources must be suspended or terminated
2) Performance in an IT security role re-evaluated
3) A risk-based decision is made by the OU AO. 

This may result in personnel action if access is required for fulfillment of position responsibilities.",#N/A
396,AT,"Security Training, Criteria",AT-03.08.01.01,Use of professional certification is at the discretion of each OU. ,#N/A
397,AT,"Security Training, Criteria",AT-03.08.02.01,Initial training is required with or without a professional certification. ,#N/A
398,AT,"Security Training, Criteria",AT-03.08.03.01,"A current role-related technology or product professional certification, which includes a security component, may be used in lieu of refresher training as long as the professional certification has maintenance requirements.",#N/A
399,AT,"Security Training, Criteria",AT-03.09.01.01,"The OSY prescribes the requirements for training regarding the handling of national security information, electronic or hard copy. This training supplements the training set forth in the .",#N/A
400,AT,Security Training Records,AT-04.00.01.01,"The organization documents individual information system security training activities including:
1) Basic security awareness training
2) Specific role-based information system security training",#N/A
401,AT,Security Training Records,AT-04.00.01.02,"The organization monitors individual information system security training activities including:
1) Basic security awareness training
2) Specific role-based information system security training",#N/A
402,AT,Security Training Records,AT-04.00.02.01,The organization defines the time period for retaining individual training records as two years (current year and past year).,#N/A
403,AT,Security Training Records,AT-04.00.02.02,The organization retains individual training records for two years (current year and past year).,#N/A
404,AT,"Security Training Records, Criteria",AT-04.01.01.01,"The Commerce Learning Center records documentation shall include:
1) Incumbent’s name
2) Role
3) Type of training received
4) When training was accomplished or date professional certification was verified.",#N/A
405,AU,Audit and Accountability Policy and Procedures,AU-01.00.01.01,"The organization develops and documents an audit and accountability policy that addresses:
1) Purpose
2) Scope
3) Roles
4) Responsibilities
5) Management Commitment 
6) Coordination Among Organizational Entities
7) Compliance",#N/A
406,AU,Audit and Accountability Policy and Procedures,AU-01.00.01.02,The organization defines personnel or roles to whom the audit and accountability policy are to be disseminated as Program Offices/System Owners.,#N/A
407,AU,Audit and Accountability Policy and Procedures,AU-01.00.01.03,The organization disseminates the audit and accountability policy to Program Offices/System Owners.,#N/A
408,AU,Audit and Accountability Policy and Procedures,AU-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls.,#N/A
409,AU,Audit and Accountability Policy and Procedures,AU-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.,#N/A
410,AU,Audit and Accountability Policy and Procedures,AU-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners.,#N/A
411,AU,Audit and Accountability Policy and Procedures,AU-01.00.03.01,"The organization defines the frequency to review and update the current audit and accountability policy as at least annually and as needed, respectively.",#N/A
412,AU,Audit and Accountability Policy and Procedures,AU-01.00.03.02,"The organization reviews and updates the current audit and accountability policy at least annually and as needed, respectively.",#N/A
413,AU,Audit and Accountability Policy and Procedures,AU-01.00.04.01,"The organization defines the frequency to review and update the current audit and accountability procedures as at least annually and as needed, respectively.",#N/A
414,AU,Audit and Accountability Policy and Procedures,AU-01.00.04.02,"The organization reviews and updates the current audit and accountability procedures at least annually and as needed, respectively. ",#N/A
415,AU,Auditable Events,AU-02.00.01.01,"The organization defines the auditable events that the information system must be capable of auditing as:
1) Startup and shutdown
2) Loading and unloading of services (only applicable to operating systems)
3) Installation and removal of software (only applicable to operating systems)
4) System alerts and error messages
5) User logon and logoff
6) Administrative activities (excluding privileged functions outlined in AC-06.09.01.01)
7) Modification of privileges and access controls
8) Failed login attempts
9) Changes to passwords or passphrases",#N/A
416,AU,Auditable Events,AU-02.00.01.02,"The organization determines, based on a risk assessment and mission/business needs, that the information system is capable of auditing the following events:
1) Startup and shutdown
2) Loading and unloading of services (only applicable to operating systems)
3) Installation and removal of software (only applicable to operating systems)
4) System alerts and error messages
5) User logon and logoff
6) Administrative activities (excluding privileged functions outlined in AC-06.09.01.01)
7) Modification of privileges and access controls
8) Failed login attempts
9) Changes to passwords or passphrases",#N/A
417,AU,Auditable Events,AU-02.00.02.01,The organization coordinates the security audit function with other organizational entities requiring audit-related information to enhance mutual support and to help guide the selection of auditable events ,#N/A
418,AU,Auditable Events,AU-02.00.03.01,The organization provides a rationale for why the list of auditable events are deemed to be adequate to support after-the-fact investigations of security incidents.,#N/A
419,AU,Auditable Events,AU-02.00.04.01,The organization defines the subset of auditable events defined in AU-02.00.01.01 to AU-02.00.01.02 that are to be audited within the information system.,#N/A
420,AU,Auditable Events,AU-02.00.04.02,The organization determines that the subset of auditable events defined in AU-02.00.01.01 to AU-02.00.01.02 are to be audited within the information system.,#N/A
421,AU,Auditable Events,AU-02.00.04.03,"The organization determines the frequency of (or situation requiring) auditing for each identified event as any deviations from the list in AU-02.00.01.01 to AU-02.00.01.02, along with justifications, must be documented in relevant system security plans. ",#N/A
422,AU,Reviews and Updates,AU-02.03.01.01,The organization determines the frequency of reviews and updates to the list of organization-defined auditable events as defined in AU-02.00.01.01 as annually. ,#N/A
423,AU,Reviews and Updates,AU-02.03.02.01,The organization reviews and updates the list of organization-defined auditable events defined in AU-02.00.01.01 annually. ,#N/A
424,AU,Content of Audit Records,AU-03.00.01.01,The information system generates audit records containing information that establishes what type of event occurred.,#N/A
425,AU,Content of Audit Records,AU-03.00.02.01,The information system generates audit records containing information that establishes when (date and time) the event occurred.,#N/A
426,AU,Content of Audit Records,AU-03.00.03.01,The information system generates audit records containing information that establishes where the event occurred. ,#N/A
427,AU,Content of Audit Records,AU-03.00.04.01,The information system generates audit records containing information that establishes the source of the event.,#N/A
428,AU,Content of Audit Records,AU-03.00.05.01,The information system generates audit records containing information that establishes the outcome (success or failure) of the event.,#N/A
429,AU,Content of Audit Records,AU-03.00.06.01,The information system generates audit records containing information that establishes the identity of any user/subject associated with the event.,#N/A
430,AU,Additional Audit Information,AU-03.01.01.01,"The organization defines additional, more detailed information to be contained in audit records that the information system generates as N/A.",#N/A
431,AU,Additional Audit Information,AU-03.01.02.01,The information system is not required to generate additional information for the audit records.,#N/A
432,AU,Centralized Management of Planned Audit Record Content,AU-03.02.01.01,The organization defines information system components that generate audit records whose content is to be centrally managed and configured by the information system as individual components throughout the system.,#N/A
433,AU,Centralized Management of Planned Audit Record Content,AU-03.02.02.01,The information system provides centralized management and configuration of the content to be captured in audit records generated by individual components throughout the system.,#N/A
434,AU,"Content of Audit Records, Criteria",AU-03.03.01.01,"The requires the following record for user-created data extracts from databases holding sensitive PII: date of extraction, date of extraction deletion, name of extractor, and storage location of extraction.",#N/A
435,AU,Audit Storage Capacity,AU-04.00.01.01,The organization defines audit record storage requirements as sufficient to capture audit records for 6 years for Title 26 data and 90 days for other data types.,#N/A
436,AU,Audit Storage Capacity,AU-04.00.02.01,The Program Offices/System Owners must allocate audit record storage capacity sufficient to capture audit records for 6 years for Title 26 data and 90 days for other data types.,#N/A
437,AU,Transfer to Alternate Storage,AU-04.01.01.01,The organization defines the frequency to off-load audit records onto a different system or media than the system being audited as at least monthly.,#N/A
438,AU,Transfer to Alternate Storage,AU-04.01.01.02,The information system off-loads audit records at least monthly onto a different system or media than the system being audited.,#N/A
439,AU,Response to Audit Processing Failure,AU-05.00.01.01,"The organization defines the personnel or roles to be alerted in the event of an audit processing failure as the system administrator, Information Systems Security Officer, and any other personnel deemed appropriate.",#N/A
440,AU,Response to Audit Processing Failure,AU-05.00.01.02,"The information system alerts the system administrator, Information Systems Security Officer, and any other personnel deemed appropriate in the event of an audit processing failure. ",#N/A
441,AU,Response to Audit Processing Failure,AU-05.00.02.01,"The organization () defines the following additional actions to be taken in the event of an audit processing failure as either overwrites audit records based on priority or usage, or cease information system processing. The information system component owner must select one of these actions.",#N/A
442,AU,Response to Audit Processing Failure,AU-05.00.02.02,"The information system either overwrites the oldest audit records based on priority or usage, or cease information system processing in the event of an audit processing failure.",#N/A
443,AU,Audit Storage Capacity,AU-05.01.01.01,The organization defines the personnel as personnel serving as system administrator be warned when allocated audit record storage volume reaches 80% of repository maximum audit record storage capacity.,#N/A
444,AU,Audit Storage Capacity,AU-05.01.01.02,The organization defines the role as system administrator be warned when allocated audit record storage volume reaches 80% of repository maximum audit record storage capacity.,#N/A
445,AU,Audit Storage Capacity,AU-05.01.01.03,The organization determines locations to be warned when allocated audit record storage volume reaches 80% of repository maximum audit record storage capacity.,#N/A
446,AU,Audit Storage Capacity,AU-05.01.02.01,"The organization defines the time period within which the information system is to provide a warning in real time to the organization-defined personnel, roles, and/or locations defined in AU.05.01.01.01 - AU.05.01.01.03 when allocated audit record storage volume reaches the 80% of repository maximum audit record storage capacity.",#N/A
447,AU,Audit Storage Capacity,AU-05.01.03.01,"The organization defines the percentage of maximum audit record storage capacity as 80%, that, if reached, requires a warning to be provided. ",#N/A
448,AU,Audit Storage Capacity,AU-05.01.04.01,The information system provides a warning to the system administrator and/or locations defined in AU.05.01.01.01 - AU.05.01.01.03 in real time when the allocated audit record storage volume reaches 80% percentage of maximum audit record storage capacity. ,#N/A
449,AU,Real-Time Alerts,AU-05.02.01.01,The organization defines audit failure events requiring real-time alerts as audit storage capacity reaches 80%. ,#N/A
450,AU,Real-Time Alerts,AU-05.02.02.01,"The organization defines the personnel, individual(s) serving as system administrator, be alerted when audit failure events occur: audit storage capacity reaches 80%, requiring real-time alerts occur.",#N/A
451,AU,Real-Time Alerts,AU-05.02.02.02,"The organization defines the role, system administrator, be alerted when audit failure events occur: audit storage capacity reaches 80%, requiring real-time alerts occur.",#N/A
452,AU,Real-Time Alerts,AU-05.02.02.03,"The organization determines locations be alerted when audit failure events occur: audit storage capacity reaches 80%, requiring real-time alerts occur.",#N/A
453,AU,Real-Time Alerts,AU-05.02.03.01,"The organization defines the period within which the information system is to provide an alert as real-time to the system administrator defined in AU.05.02.02.01 to AU.05.02.02.03 audit failure events occur: audit storage capacity reaches 80%, requiring real-time alerts occur.",#N/A
454,AU,Real-Time Alerts,AU-05.02.04.01,The information system provides a real-time alert to system administrator defined in AU.05.02.02.01 - AU.05.02.02.03 audit failure events occur: audit storage capacity reaches 80%.,#N/A
455,AU,Configurable Traffic Volume Thresholds,AU-05.03.01.01,The information system enforces configurable network communications traffic volume thresholds reflecting limits on auditing capacity.,#N/A
456,AU,Configurable Traffic Volume Thresholds,AU-05.03.02.01,The organization selects if network traffic above configurable traffic volume thresholds is to be rejected.,#N/A
457,AU,Configurable Traffic Volume Thresholds,AU-05.03.02.02,The organization selects if network traffic above configurable traffic volume thresholds is to be delayed.,#N/A
458,AU,Configurable Traffic Volume Thresholds,AU-05.03.03.01,The information system rejects or delays network communications traffic generated above configurable traffic volume thresholds,#N/A
459,AU,Shutdown on Failure,AU-05.04.01.01,The organization selects one of the following specific actions for the information system to invoke in the event of organization-defined audit failures: Full system shutdown,#N/A
460,AU,Shutdown on Failure,AU-05.04.01.02,The organization selects one of the following specific actions for the information system to invoke in the event of organization-defined audit failures: Partial system shutdown,#N/A
461,AU,Shutdown on Failure,AU-05.04.01.03,The organization selects one of the following specific actions for the information system to invoke in the event of organization-defined audit failures: Degraded operational mode with limited mission/business functionality available,#N/A
462,AU,Shutdown on Failure,AU-05.04.02.01,"The organization defines audit failures that, unless an alternate audit capability exists, are to trigger the information system to invoke a specific action.",#N/A
463,AU,Shutdown on Failure,AU-05.04.03.01,"The information system invokes the selected specific action in the event of organization-defined audit failures, unless an alternate audit capability exists.",#N/A
464,AU,"Audit Review, Analysis, and Reporting",AU-06.00.01.01,The organization defines the types of inappropriate or unusual activity to look for when information system audit records are reviewed and analyzed.,#N/A
465,AU,"Audit Review, Analysis, and Reporting",AU-06.00.02.01,The organization defines the frequency of information system audit record reviews and analyses as at least monthly.,#N/A
466,AU,"Audit Review, Analysis, and Reporting",AU-06.00.03.01,The organization reviews and analyzes information system audit records for indications of inappropriate or unusual activity at least monthly frequency.,#N/A
467,AU,"Audit Review, Analysis, and Reporting",AU-06.00.04.01,The organization defines personnel or roles to whom findings resulting from reviews and analysis of information system audit records are to be reported as designated  Agency officials.,#N/A
468,AU,"Audit Review, Analysis, and Reporting",AU-06.00.05.01,"The organization report findings of inappropriate/unusual activities, to designated  Agency officials. ",#N/A
469,AU,Process Integration,AU-06.01.01.01,The organization employs automated mechanisms to integrate: audit review,#N/A
470,AU,Process Integration,AU-06.01.01.02,The organization employs automated mechanisms to integrate: analysis,#N/A
471,AU,Process Integration,AU-06.01.01.03,The organization employs automated mechanisms to integrate: reporting processes,#N/A
472,AU,Process Integration,AU-06.01.02.01,"The organization uses integrated audit review, analysis, and reporting processes to support organizational processes for investigation of suspicious activities.",#N/A
473,AU,Process Integration,AU-06.01.02.02,"The organization uses integrated audit review, analysis, and reporting processes to support organizational processes for response to suspicious activities.",#N/A
474,AU,Correlate Audit Repositories,AU-06.03.01.01,The organization analyzes and correlates audit records across different repositories to gain organization-wide situational awareness,#N/A
475,AU,Central Review and Analysis,AU-06.04.01.01,The information system provides the capability to centrally review and analyze audit records from multiple components within the system,#N/A
476,AU,Integration/Scanning and Monitoring Capabilities,AU-06.05.01.01,"The organization defines data/information to be collected from other sources as vulnerability scanning information, performance data, information system monitoring information, and compliance scanning data.",#N/A
477,AU,Integration/Scanning and Monitoring Capabilities,AU-06.05.02.01,The organization selects sources of data/information to be analyzed and integrated with the analysis of audit records from one or more of the following: Vulnerability scanning information.,#N/A
478,AU,Integration/Scanning and Monitoring Capabilities,AU-06.05.02.02,The organization selects sources of data/information to be analyzed and integrated with the analysis of audit records from one or more of the following: Performance data.,#N/A
479,AU,Integration/Scanning and Monitoring Capabilities,AU-06.05.02.03,The organization selects sources of data/information to be analyzed and integrated with the analysis of audit records from one or more of the following: Information system monitoring information.,#N/A
480,AU,Integration/Scanning and Monitoring Capabilities,AU-06.05.02.04,The organization selects sources of data/information to be analyzed and integrated with the analysis of audit records from one or more of the following: compliance scanning data.,#N/A
481,AU,Integration/Scanning and Monitoring Capabilities,AU-06.05.03.01,The organization integrates the analysis of audit records with the analysis of selected data/information to further enhance the ability to identify inappropriate or unusual activity.,#N/A
482,AU,Correlation with Physical Monitoring,AU-06.06.01.01,"The organization correlates information from audit records with information obtained from monitoring physical access to enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity.",#N/A
483,AU,Permitted Actions,AU-06.07.01.01,"The organization specifies the permitted actions for each one or more of the following associated with the review, analysis and reporting of audit information",#N/A
484,AU,Full Text Analysis of Privileged Commands,AU-06.08.01.01,The organization performs a full text analysis of audited privileged commands in a physically distinct component or subsystem of the information system.,#N/A
485,AU,Full Text Analysis of Privileged Commands,AU-06.08.01.02,The organization performs a full text analysis of audited privileged commands in another information system that is dedicated to that analysis.,#N/A
486,AU,Correlation with Information from Nontechnical Sources,AU-06.09.01.01,The organization correlates information from nontechnical sources with audit information to enhance organization-wide situational awareness.,#N/A
487,AU,Audit Level Adjustment,AU-06.10.01.01,"The organization adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk based on law enforcement information.",#N/A
488,AU,Audit Level Adjustment,AU-06.10.02.01,"The organization adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk based on intelligence information.",#N/A
489,AU,Audit Level Adjustment,AU-06.10.03.01,"The organization adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk based on other credible sources of information..",#N/A
490,AU,"Audit Review, Analysis, and Reporting, Criteria",AU-06.11.01.01,The OUs must define a list of inappropriate or unusual activities that are to result in automated alerts to security personnel.,#N/A
491,AU,"Audit Review, Analysis, and Reporting, Criteria",AU-06.12.01.01,"For data extracts from databases holding sensitive information, the requires the OUs to erase the data within ninety (90) days to verify the data is still required.",#N/A
492,AU,"Audit Review, Analysis, and Reporting,  Criteria",AU-06.13.01.01,All information systems connected to the  Agency network must utilize the  Agency-approved centralized audit record management solution managed through the  Agency Security Operations Center (SOC) in accordance with the requirements defined by OIS and the program manager for the enterprise-wide auditing solution.,#N/A
493,AU,Audit Reduction and Report Generation,AU-07.00.01.01,The information system provides an audit reduction and report generation capability that supports on demand audit review.,#N/A
494,AU,Audit Reduction and Report Generation,AU-07.00.01.02,The information system provides an audit reduction and report generation capability that supports analysis.,#N/A
495,AU,Audit Reduction and Report Generation,AU-07.00.01.03,The information system provides an audit reduction and report generation capability that supports reporting requirements.,#N/A
496,AU,Audit Reduction and Report Generation,AU-07.00.01.04,The information system provides an audit reduction and report generation capability that supports after-the-fact investigations of security incidents.,#N/A
497,AU,Audit Reduction and Report Generation,AU-07.00.02.01,The information system provides an audit reduction and report generation capability that does not alter the original content or time ordering of audit records,#N/A
498,AU,Automatic Processing,AU-07.01.01.01,The organization defines audit fields within audit records in order to process audit records for events of interest defined in AU-02.00.01.02.,#N/A
499,AU,Automatic Processing,AU-07.01.02.01,The information system provides the capability to automatically process audit records for events of interest based on event criteria defined in AU-03.00.01.01 to AU-03.00.06.01 within audit records.,#N/A
500,AU,Automatic Sort and Search,AU-07.02.01.01,The organization defines audit fields within audit records in order to sort and search audit records for events of interest based on content of such audit fields.,#N/A
501,AU,Automatic Sort and Search,AU-07.02.02.01,The information system provides the capability to sort and search audit records for events of interest based on the content of organization-defined audit fields within audit records.,#N/A
502,AU,Time Stamps,AU-08.00.01.01,The information system uses internal system clocks to generate time stamps for audit records.,#N/A
503,AU,Time Stamps,AU-08.00.02.01,The information system records time stamps for audit records that can be mapped to Coordinated Universal Time (UTC) or Greenwich Mean Time (GMT).,#N/A
504,AU,Time Stamps,AU-08.00.02.02,The organization defines the precision of 50 milliseconds to be met when recording time stamps for audit records.,#N/A
505,AU,Time Stamps,AU-08.00.02.03,The organization records time stamps for audit records that meet a precision of 50 milliseconds. ,#N/A
506,AU,Synchronization with Authoritative Time Source,AU-08.01.01.01,The organization defines the authoritative time source to which internal information system clocks are to be compared as NIST.,#N/A
507,AU,Synchronization with Authoritative Time Source,AU-08.01.01.02,The organization defines the frequency of internal clock synchronization for the information system as daily.,#N/A
508,AU,Synchronization with Authoritative Time Source,AU-08.01.01.03,The information system compares the internal information system clocks with NIST on a daily frequency.,#N/A
509,AU,Synchronization with Authoritative Time Source,AU-08.01.02.01,"The organization defines the time period that, if exceeded by the time difference between the internal system clocks and NIST, will result in the internal system clocks being synchronized to the authoritative time source as greater than 50 milliseconds.",#N/A
510,AU,Synchronization with Authoritative Time Source,AU-08.01.02.02,The information system synchronizes the internal system clocks to the authoritative time source when the time difference is greater than 50 milliseconds.,#N/A
511,AU,Secondary Authoritative Time Source,AU-08.02.01.01,The information system identifies a secondary authoritative time source that is located in a different geographic region than the primary authoritative time source.,#N/A
512,AU,Protection of Audit Information,AU-09.00.01.01,The information system protects audit information from unauthorized access.,#N/A
513,AU,Protection of Audit Information,AU-09.00.01.02,The information system protects audit information from unauthorized modification.,#N/A
514,AU,Protection of Audit Information,AU-09.00.01.03,The information system protects audit information from unauthorized deletion.,#N/A
515,AU,Protection of Audit Information,AU-09.00.02.01,The information system protects audit tools from unauthorized access.,#N/A
516,AU,Protection of Audit Information,AU-09.00.02.02,The information system protects audit tools from unauthorized modification.,#N/A
517,AU,Protection of Audit Information,AU-09.00.02.03,The information system protects audit tools from unauthorized deletion.,#N/A
518,AU,Hardware Write-Once Media,AU-09.01.01.01,"The information system writes audit trails to hardware-enforced, write-once media.",#N/A
519,AU,Audit Backup on Separate Physical Systems / Components,AU-09.02.01.01,The organization defines the frequency to back up audit records onto a physically different system or system component than the system or component being audited as daily.,Access control policy and procedures. Audit and accountability policy. Access control policy and procedures. Procedures addressing protection of audit information.
520,AU,Audit Backup on Separate Physical Systems / Components,AU-09.02.02.01,"The information system backs up audit records with the organization-defined frequency, onto a physically different system or system component than the system or component being audited as daily.",#N/A
521,AU,Cryptographic Protection,AU-09.03.01.01,The information system uses cryptographic mechanisms to protect the integrity of audit information.,#N/A
522,AU,Cryptographic Protection,AU-09.03.02.01,The information system uses cryptographic mechanisms to protect the integrity of audit tools.,#N/A
523,AU,Access by Subset of Privileged Users,AU-09.04.01.01,"The organization defines a subset of privileged users to be authorized access to management of audit functionality as system administrators, developers, and other designated personnel with explicit authorization from the System Owner.",* List of roles and privileges/permissions assigned to the roles documented in an account management document or system administrator's guide.
524,AU,Access by Subset of Privileged Users,AU-09.04.02.01,"The organization authorizes access to management of audit functionality to only the system administrators, developers, and other designated personnel with explicit authorization from the System Owner.",#N/A
525,AU,Dual Authorization,AU-09.05.01.01,The organization defines audit information for which dual authorization is to be enforced.,#N/A
526,AU,Dual Authorization,AU-09.05.02.01,The organization defines one or more of the following types of operations on audit information for which dual authorization is to be enforced: Movement.,#N/A
527,AU,Dual Authorization,AU-09.05.02.02,The organization defines one or more of the following types of operations on audit information for which dual authorization is to be enforced: Deletion.,#N/A
528,AU,Dual Authorization,AU-09.05.03.01,The organization enforces dual authorization for the movement and/or deletion of organization-defined audit information.,#N/A
529,AU,Read Only Access,AU-09.06.01.01,The organization defines the subset of privileged users to be authorized read-only access to audit information. ,#N/A
530,AU,Read Only Access,AU-09.06.02.01,The organization authorizes read-only access to audit information to the organization-defined subset of privileged users. ,#N/A
531,AU,Non-Repudiation,AU-10.00.01.01,"The organization must ensure that the information system protects against an individual (or process acting on behalf of an individual) falsely denying having performed the creation of information, sending of messages, approval of information [to indicate concurrence or sign a contract], or receiving of messages to be covered by non-repudiation.",#N/A
532,AU,Non-Repudiation,AU-10.00.02.01,"The information system protects against an individual falsely denying having performed the creation of information, sending of messages, approval of information [to indicate concurrence or sign a contract], or receiving of messages to be covered by non-repudiation.",#N/A
533,AU,Association of Identities,AU-10.01.01.01,The organization defines the strength of binding to be employed between the identity of the information producer and the information.,#N/A
534,AU,Association of Identities,AU-10.01.01.02,The information system binds the identity of the information producer with the information to the organization-defined strength of binding.,#N/A
535,AU,Association of Identities,AU-10.01.02.01,The information system provides the means for authorized individuals to determine the identity of the producer of the information.,#N/A
536,AU,Validate Binding of Information Producer Identity,AU-10.02.01.01,The organization defines the frequency to validate the binding of the information producer identity to the informant.,#N/A
537,AU,Validate Binding of Information Producer Identity,AU-10.02.01.02,The information system validates the binding of the information producer identity to the information at the organization-defined frequency.,#N/A
538,AU,Validate Binding of Information Producer Identity,AU-10.02.02.01,The organization defines actions to be performed in the event of a validation error.,#N/A
539,AU,Validate Binding of Information Producer Identity,AU-10.02.02.02,The information system performs organization-defined actions in the event of a validation error.,#N/A
540,AU,Chain of Custody,AU-10.03.01.01,The information system maintains reviewer/releaser identity within the established chain of custody for all information reviewed.,#N/A
541,AU,Chain of Custody,AU-10.03.02.01,The information system maintains reviewer/releaser identity within the established chain of custody for all information released.,#N/A
542,AU,Chain of Custody,AU-10.03.03.01,The information system maintains reviewer/releaser credentials within the established chain of custody for all information reviewed.,#N/A
543,AU,Chain of Custody,AU-10.03.04.01,The information system maintains reviewer/releaser credentials within the established chain of custody for all information released.,#N/A
544,AU,Validate Binding of Information Reviewer Identity,AU-10.04.01.01,The organization defines security domains for which the binding of the information reviewer identity to the information is to be validated at the transfer or release points prior to release/transfer between such domains.,#N/A
545,AU,Validate Binding of Information Reviewer Identity,AU-10.04.01.02,The information system validates the binding of the information reviewer identity to the information at the transfer or release points prior to release/transfer between organization-defined security domains.,#N/A
546,AU,Validate Binding of Information Reviewer Identity,AU-10.04.02.01,The organization defines actions to be performed in the event of a validation error.,#N/A
547,AU,Validate Binding of Information Reviewer Identity,AU-10.04.02.02,The information system performs organization-defined actions in the event of a validation error.,#N/A
548,AU,Audit Record Retention ,AU-11.00.01.01,The organization defines the retention period for audit records as at least 90 days.,#N/A
549,AU,Audit Record Retention ,AU-11.00.02.01,The organization retains audit records for at least 90 days consistent with records retention policy to provide support for after-the-fact investigations of security incidents. ,#N/A
550,AU,Audit Record Retention ,AU-11.00.02.02,The organization retains audit records for at least 90 days consistent with records retention policy to meet regulatory and organizational information retention requirements.,#N/A
551,AU,Audit Record Retention ,AU-11.00.03.01,"Where Federal Tax Information is stored, Program Offices/System Owners must ensure that audit information is archived for seven years.",#N/A
552,AU,Long-Term Retrieval Capability,AU-11.01.01.01,The organization defines measures to be employed to ensure that long-term audit records generated by the information system can be retrieved,#N/A
553,AU,Long-Term Retrieval Capability,AU-11.01.02.01,The organization employs organization-defined measures to ensure that long-term audit records generated by the information system can be retrieved,#N/A
554,AU,Audit Generation,AU-12.00.01.01,The organization defines the information system components which are to provide audit record generation capability for the auditable events defined in AU-02.00.01.01 to AU-02.00.01.02 as all information system components.,#N/A
555,AU,Audit Generation,AU-12.00.01.02,"The information system provides audit record generation capability, for all information system components, for the list of auditable events defined in AU-02.00.01.01 to AU-02.00.01.02.",#N/A
556,AU,Audit Generation,AU-12.00.02.01,The organization defines authorized privileged users to select which auditable events are to be audited by specific components of the information system as defined in AU-02.00.01.01.,#N/A
557,AU,Audit Generation,AU-12.00.02.02,The information system allows authorized privileged users to select which auditable events are to be audited by specific components of the system. ,#N/A
558,AU,Audit Generation,AU-12.00.03.01,The information system generates audit records for the list of audited events defined in AU-02.00.04.01 to AU-02.00.04.03 with the content as defined in AU-03.00.01.01 to AU-03.00.06.01.,#N/A
559,AU,System-Wide / Time-Correlated Audit Trail,AU-12.01.01.01,The organization defines the information system components from which audit records from events listed in AU-02.00.00.01 are to be compiled into the system-wide (logical or physical) audit trail as all information system components eligible for the  Agency-approved centralized audit record management solution.,#N/A
560,AU,System-Wide / Time-Correlated Audit Trail,AU-12.01.01.02,The organization defines the acceptable level of tolerance for relationship between time stamps of individual records in the system-wide audit trail as two-seconds level of tolerance for relationships between time stamps of individual records in the audit trail. ,#N/A
561,AU,System-Wide / Time-Correlated Audit Trail,AU-12.01.01.03,The information system compiles audit records from events listed in AU-02.00.00.01 from all information system components eligible for the  Agency-approved centralized audit record management solution into a system-wide (logical or physical) audit trail that is time-correlated to within two-seconds level of tolerance for the relationship between time stamps of individual records in the audit trail.,#N/A
562,AU,Standardized Formats,AU-12.02.01.01,The information system produces a system-wide (logical or physical) audit trail composed of audit records in a standardized format,#N/A
563,AU,Changes by Authorized Individuals,AU-12.03.01.01,The organization defines information system components on which auditing is to be performed as components categorized under the high security baseline.,#N/A
