ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
339,CM,Review and Updates,CM-02.01.02.01,The organization defines circumstances that require the baseline configuration of the information system to be reviewed and updated as significant system change. 
340,CM,Review and Updates,CM-02.01.02.02,The organization reviews and updates the baseline configuration of the information system when significant system change occurs.
341,CM,Review and Updates,CM-02.01.03.01,The organization reviews and updates the baseline configuration of the information system as an integral part of information system component installations and upgrades.
342,CM,Retention of Previous Configuration,CM-02.03.01.01,The organization defines previous versions of baseline configurations of the information system to be retained to support rollback as older.
343,CM,Retention of Previous Configuration,CM-02.03.02.01,The organization retains older versions of baseline configurations of the information system to support rollback.
344,CM,"Configure Systems, Components, or Devices for High-Risk Areas",CM-02.07.01.01,"The organization defines information systems, system components, or devices to be issued to individuals traveling to locations that the organization deems to be of significant risk as laptops and other mobile devices."
345,CM,"Configure Systems, Components, or Devices for High-Risk Areas",CM-02.07.01.02,The organization defines configurations requirements defined in CITR-020 “Safeguarding Information While on Foreign Travel” to be employed on laptops and other mobile devices issued to individuals traveling to such locations (see DOC ITSPP CM-2.4).
346,CM,"Configure Systems, Components, or Devices for High-Risk Areas",CM-02.07.01.03,The organization issues laptops and other mobile devices in accordance with configuration requirements defined in CITR-020 “Safeguarding Information While on Foreign Travel” to individuals traveling to locations that the organization deems to be of significant risk.
347,CM,"Configure Systems, Components, or Devices for High-Risk Areas",CM-02.07.02.01,The organization defines security safeguards to be applied to the devices when the individuals return as sanitization techniques.
348,CM,"Configure Systems, Components, or Devices for High-Risk Areas",CM-02.07.02.02,The organization applies sanitization technique safeguards to the devices when the individuals return.
349,CM,"Baseline Configuration, Census Bureau Criteria",CM-02.10.01.01,"The Telecommunications Office shall utilize the DOC configuration audit and software control tool to capture and maintain the baseline for government-furnished mobile devices, including iOS and Android. These devices must be enrolled in the Census Bureau mobile device management system."
350,CM,Configuration Change Control,CM-03.00.01.01,The organization determines the types of changes to the information system that are configuration controlled.
351,CM,Configuration Change Control,CM-03.00.02.01,The organization reviews proposed configuration-controlled changes to the information system and approves or disapproves such changes with explicit consideration for security impact analyses.
352,CM,Configuration Change Control,CM-03.00.03.01,The organization documents configuration change decisions associated with the information system.
353,CM,Configuration Change Control,CM-03.00.04.01,The organization implements approved configuration-controlled changes to the information system. 
354,CM,Configuration Change Control,CM-03.00.05.01,The organization defines a time period to retain records of configuration-controlled changes to the information system as at least two (2) years.
355,CM,Configuration Change Control,CM-03.00.05.02,The organization retains records of configuration-controlled changes to the information system for at least two (2) years.
356,CM,Configuration Change Control,CM-03.00.06.01,The organization audits activities associated with configuration-controlled changes to the information system.
357,CM,Configuration Change Control,CM-03.00.07.01,"The organization defines a configuration change control element (e.g., committee, board) responsible for coordinating and providing oversight for configuration change control activities as the Change Control Board."
358,CM,Configuration Change Control,CM-03.00.07.02,The organization defines the frequency with which the configuration change control element must convene as specified in the Change Control Board charter.
359,CM,Configuration Change Control,CM-03.00.07.03,The organization defines configuration change conditions that prompt the configuration change control element to convene as specified in the Change Control Board charter.
360,CM,Configuration Change Control,CM-03.00.07.04,The organization coordinates and provides oversight for configuration change control activities through the Change Control Board that convenes as specified in the Change Control Board charter. 
361,CM,Test / Validate / Document Changes,CM-03.02.01.01,"The organization, before implementing changes on the operational system, tests changes to the information system"
362,CM,Test / Validate / Document Changes,CM-03.02.02.01,"The organization, before implementing changes on the operational system, validates changes to the information system."
363,CM,Test / Validate / Document Changes,CM-03.02.03.01,"The organization, before implementing changes on the operational system, documents changes to the information system."
364,CM,Monitoring Configuration Changes,CM-04.00.01.01,The organization analyzes changes to the information system to determine potential security impacts prior to change implementation. 
365,CM,Access Restrictions for Change ,CM-05.00.01.01,The organization defines physical access restrictions associated with changes to the information system.
366,CM,Access Restrictions for Change ,CM-05.00.02.01,The organization documents physical access restrictions associated with changes to the information system.
367,CM,Access Restrictions for Change ,CM-05.00.03.01,The organization approves physical access restrictions associated with changes to the information system.
368,CM,Access Restrictions for Change ,CM-05.00.04.01,The organization enforces physical access restrictions associated with changes to the information system.
369,CM,Access Restrictions for Change ,CM-05.00.05.01,The organization defines logical access restrictions associated with changes to the information system.
370,CM,Access Restrictions for Change ,CM-05.00.06.01,The organization documents logical access restrictions associated with changes to the information system.
371,CM,Access Restrictions for Change ,CM-05.00.07.01,The organization approves logical access restrictions associated with changes to the information system.
372,CM,Access Restrictions for Change ,CM-05.00.08.01,The organization enforces logical access restrictions associated with changes to the information system.
373,CM,Configuration Settings,CM-06.00.01.01,The organization defines security configuration checklists to be used to establish and document configuration settings for the information technology products employed.
374,CM,Configuration Settings,CM-06.00.01.02,The organization ensures the defined security configuration checklists reflect the most restrictive mode consistent with operational requirements.
375,CM,Configuration Settings,CM-06.00.01.03,"The organization establishes and documents configuration settings for information technology products employed within the information system based on the following security standards (in this order):
1) Census Bureau Enterprise Secure Configuration Benchmarks, 
2) United States Government Configuration Baseline (USGCB),
3) Defense Information Systems Agency (DISA), 
4) Center for Internet Security (CIS), 
5) NIST,
6) Vendor hardening guidance, or 
7) Self-developed security configuration benchmarks"
376,CM,Configuration Settings,CM-06.00.02.01,The organization implements the configuration settings established/documented in CM-06.00.01.01 to CM-06.00.01.02. 
377,CM,Configuration Settings,CM-06.00.03.01,"The organization defines information system components for which any deviations from established configuration settings must be: 
1) Identified
2) Documented
3) Approved"
378,CM,Configuration Settings,CM-06.00.03.02,"The organization defines operational requirements based on authorized operational requirements documented in Accepted Baseline Configuration (ABC) forms or customized secure configuration baselines to support: 
1) The identification of any deviations from established configuration settings
2) The documentation of any deviations from established configuration settings
3) The approval of any deviations from established configuration settings"
379,CM,Configuration Settings,CM-06.00.03.03,The organization identifies any deviations from established configuration settings for information system components based on authorized operational requirements documented in Accepted Baseline Configuration (ABC) forms or customized secure configuration baselines.
380,CM,Configuration Settings,CM-06.00.03.04,The organization documents any deviations from established configuration settings for information system components based on authorized operational requirements documented in Accepted Baseline Configuration (ABC) forms or customized secure configuration baselines.
381,CM,Configuration Settings,CM-06.00.03.05,The organization approves any deviations from established configuration settings for information system components based on authorized operational requirements documented in Accepted Baseline Configuration (ABC) forms or customized secure configuration baselines.
382,CM,Configuration Settings,CM-06.00.04.01,The organization monitors changes to the configuration settings in accordance with organizational policies and procedures.
383,CM,Configuration Settings,CM-06.00.04.02,The organization controls changes to the configuration settings in accordance with organizational policies and procedures.
384,CM,Automated Central Management / Application / Verification,CM-06.01.01.01,The organization defines information system components for which automated mechanisms are to be employed to centrally manage configuration settings of such components as those listed on the Secure Configurations Working Group website.
385,CM,Automated Central Management / Application / Verification,CM-06.01.01.02,The organization defines information system components for which automated mechanisms are to be employed to apply configuration settings of such components as those listed on the Secure Configurations Working Group website.
386,CM,Automated Central Management / Application / Verification,CM-06.01.01.03,The organization defines information system components for which automated mechanisms are to be employed to verify configuration settings of such components as those listed on the Secure Configurations Working Group website.
387,CM,Automated Central Management / Application / Verification,CM-06.01.02.01,The organization employs automated mechanisms to centrally manage configuration settings for information system components listed on the Secure Configurations Working Group website.
388,CM,Automated Central Management / Application / Verification,CM-06.01.02.02,The organization employs automated mechanisms to apply configuration settings for information system components listed on the Secure Configurations Working Group website.
389,CM,Automated Central Management / Application / Verification,CM-06.01.02.03,The organization employs automated mechanisms to verify configuration settings for information system components listed on the Secure Configurations Working Group website.
390,CM,Least Functionality,CM-07.00.01.01,The organization configures the information system to provide only essential capabilities. 
391,CM,Least Functionality,CM-07.00.02.01,"The organization defines for the information system prohibited or restricted: 
1) functions
2) ports
3) protocols:
Secure Sockets Layer (SSL), Transport Layer Security (TLS) version 1.1 and below
and/or 
4) services: 
CHARGEN, Daytime, DHCP, DNS, Echo, fInger, FTP, Gopher, Hotplugger, IMAP, Inetd, IRC, Kerberos, Kudzu, NFS, NIS, nntp, POP, POP3, Portmapper, QOTD, Radmin, rexec, rlogin, RPC, Rquota, Rsh, rsync, rwho, SAMBA, Sendmail, SMC, smtp (when not needed) (with expand and verify enabled), SNMP (prior to v3), Squid, Sun RPC, Telnet, terminal services, TFTP, Time, UPnP, uucp, vnc (without authentication), X11, XDMCP, Xfont, Xinetd"
392,CM,Least Functionality,CM-07.00.02.02,"The organization configures the information system to specifically prohibit or restrict the use of organization-defined: 
1) functions
2) ports
3) protocols: 
Secure Sockets Layer (SSL), Transport Layer Security (TLS) version 1.1 and below
and/or 
4) services:
CHARGEN, Daytime, DHCP, DNS, Echo, fInger, FTP, Gopher, Hotplugger, IMAP, Inetd, IRC, Kerberos, Kudzu, NFS, NIS, nntp, POP, POP3, Portmapper, QOTD, Radmin, rexec, rlogin, RPC, Rquota, Rsh, rsync, rwho, SAMBA, Sendmail, SMC, smtp (when not needed) (with expand and verify enabled), SNMP (prior to v3), Squid, Sun RPC, Telnet, terminal services, TFTP, Time, UPnP, uucp, vnc (without authentication), X11, XDMCP, Xfont, Xinetd."
393,CM,Periodic Review,CM-07.01.01.01,"The organization defines the frequency of information system reviews as at least annually, to identify unnecessary and/or nonsecure:
1) functions
2) ports
3) protocols
4) services"
394,CM,Periodic Review,CM-07.01.01.02,"The organization reviews the information system at least annually to identify unnecessary and/or nonsecure: 
1) functions
2) ports
3) protocols
4) services"
395,CM,Periodic Review,CM-07.01.02.01,"The organization defines, within the information system listed in CM-07.00.02.01 - CM-07.00.02.02, unnecessary and/or nonsecure:
1) functions
2) ports
3) protocols
4) services"
396,CM,Periodic Review,CM-07.01.02.02,"The organization disables information systems listed in listed in CM-07.00.02.01 - CM-07.00.02.02 any unnecessary and/or nonsecure:
1) functions
2) ports
3) protocols
4) services"
397,CM,Prevent Program Execution,CM-07.02.01.01,The organization defines policies regarding software program usage and restrictions in accordance with Acceptable Use Policy for Census Bureau Information Resources and the Software Licensing Information Center (SLIC).
398,CM,Prevent Program Execution,CM-07.02.02.01,The information system prevents program execution in accordance with Acceptable Use Policy for Census Bureau Information Resources and the Software Licensing Information Center (SLIC).
399,CM,Prevent Program Execution,CM-07.02.02.02,The information system prevents program execution in accordance with one or more of the following: Rules authorizing the terms and conditions of software program usage.
400,CM,"Authorized Software
(White Listing)",CM-07.05.01.01,The organization identifies/defines software programs authorized and maintained by the Standards Working Group to execute on the information system.
401,CM,"Authorized Software
(White Listing)",CM-07.05.02.01,"The organization employs a deny-all, permit-by-exception authorization policy to identify software allowed to execute on the information system. "
402,CM,"Authorized Software
(White Listing)",CM-07.05.03.01,The organization defines the frequency to review and update the list of authorized software programs on the information system as at least monthly.
403,CM,"Authorized Software
(White Listing)",CM-07.05.03.02,The organization reviews and updates the list of authorized software programs at least monthly.
404,CM,"Least Functionality, DOC Criteria",CM-07.06.01.01,"The list of prohibited and/or restricted functions, ports, protocols, and/or services, shall be included in the SSP."
405,CM,"Least Functionality, Census Bureau Criteria",CM-07.08.01.01,"Any prohibited and/or restricted functions, ports, protocols, and/or services, as identified in CM-07.00.02.02, required for operational purposes must be explicitly authorized for use by the Information Systems Security Officer, System Owner, Authorizing Official, and Co-Authorizing Official."
406,CM,Information System Component Inventory,CM-08.00.01.01,The organization develops and documents an inventory of information system components that accurately reflects the current information system. 
407,CM,Information System Component Inventory,CM-08.00.01.02,The organization develops and documents an inventory of information system components that includes all components within the authorization boundary of the information system
408,CM,Information System Component Inventory,CM-08.00.01.03,The organization develops and documents an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
409,CM,Information System Component Inventory,CM-08.00.01.04,"The organization develops and documents an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountability, which includes: 
1) Point of Contact 
2) Device Manufacturer
3) Device Model
4) Vendor Name
5) Version Number
6) Fully Qualified Domain Name (FQDN)
7) IP Address"
410,CM,Information System Component Inventory,CM-08.00.01.05,"The organization defines the information deemed necessary to achieve effective information system component accountability, which includes: 
1) Point of Contact 
2) Device Manufacturer
3) Device Model
4) Vendor Name
5) Version Number
6) Fully Qualified Domain Name (FQDN)
7) IP Address"
411,CM,Information System Component Inventory,CM-08.00.02.01,"The organization defines the frequency to review and update the information system component inventory as at least every six months, or as requested by OIS."
412,CM,Information System Component Inventory,CM-08.00.02.02,"The organization reviews and updates the information system component inventory at least every six months, or as requested by OIS."
413,CM,Updates during Installations / Removal,CM-08.01.01.01,The organization updates the inventory of information system components as an integral part of component installations.
414,CM,Updates during Installations / Removal,CM-08.01.02.01,The organization updates the inventory of information system components as an integral part of component removals.
415,CM,Updates during Installations / Removal,CM-08.01.03.01,The organization updates the inventory of information system components as an integral part of information system updates.
416,CM,Automated Unauthorized Component Detection,CM-08.03.01.01,"The organization defines the frequency as monthly of employing automated mechanisms to detect the presence of unauthorized:
1) hardware components within the information system
2) software components within the information system
3) firmware components within the information system"
417,CM,Automated Unauthorized Component Detection,CM-08.03.01.02,"The organization employs automated mechanisms monthly to detect the presence of unauthorized:
1) hardware components within the information system
2) software components within the information system
3) firmware components within the information system"
418,CM,Automated Unauthorized Component Detection,CM-08.03.02.01,The organization defines personnel or roles to be notified when unauthorized components are detected as the System Owner and CISO.
419,CM,Automated Unauthorized Component Detection,CM-08.03.02.02,"The organization takes following actions when unauthorized components are detected:
1) notifies System Owner and CISO
2) disables network access by such components if necessary"
420,CM,No Duplicate Accounting of Components,CM-08.05.01.01,The organization verifies that all components within the authorization boundary of the information system are not duplicated in other information system inventories.
421,CM,Configuration Management Plan,CM-09.00.01.01,"The organization develops, documents, and implements a configuration management plan for the information system that addresses roles."
422,CM,Configuration Management Plan,CM-09.00.01.02,"The organization develops, documents, and implements a configuration management plan for the information system that addresses responsibilities."
423,CM,Configuration Management Plan,CM-09.00.01.03,"The organization develops, documents, and implements a configuration management plan for the information system that addresses configuration management processes and procedures."
424,CM,Configuration Management Plan,CM-09.00.02.01,"The organization develops, documents, and implements a configuration management plan for the information system that establishes a process for identifying configuration items throughout the SDLC."
425,CM,Configuration Management Plan,CM-09.00.02.02,"The organization develops, documents, and implements a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items."
426,CM,Configuration Management Plan,CM-09.00.03.01,"The organization develops, documents, and implements a configuration management plan for the information system that defines the configuration items for the information system. "
427,CM,Configuration Management Plan,CM-09.00.03.02,"The organization develops, documents, and implements a configuration management plan for the information system that places the configuration items under configuration management."
428,CM,Configuration Management Plan,CM-09.00.04.01,"The organization develops, documents, and implements a configuration management plan for the information system that protects the configuration management plan from unauthorized disclosure."
429,CM,Configuration Management Plan,CM-09.00.04.02,"The organization develops, documents, and implements a configuration management plan for the information system that protects the configuration management plan from unauthorized modification."
430,CM,Software Usage Restrictions,CM-10.00.01.01,The organization uses software and associated documentation in accordance with contract agreements and copyright laws.
431,CM,Software Usage Restrictions,CM-10.00.02.01,The organization tracks the use of software and associated documentation protected by quantity licenses to control copying and distribution.
432,CM,Software Usage Restrictions,CM-10.00.03.01,"The organization controls and documents the use of peer-to-peer file sharing technology in accordance with the Acceptable Use Policy for Census Bureau Information Resources to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work."
433,CM,Open Source Software,CM-10.01.01.01,The Standards Working Group (SWG) defines restrictions on the use of open source software per the Enterprise Architecture policy.
434,CM,Open Source Software,CM-10.01.02.01,The Standards Working Group (SWG) establishes restrictions on the use of open source software per the Enterprise Architecture policy.
435,CM,User Installed Software,CM-11.00.01.01,The organization defines policies to govern the installation of software by users in the Acceptable Use Policy for Census Bureau Information Resources.
436,CM,User Installed Software,CM-11.00.01.02,The organization establishes the Acceptable Use Policy for Census Bureau Information Resources governing the installation of software by users.
437,CM,User Installed Software,CM-11.00.02.01,The organization defines methods to enforce software installation policies through usage of Program Deleter to remove blacklisted executable files.
438,CM,User Installed Software,CM-11.00.02.02,The organization enforces software installation policies through Program Deleter to remove blacklisted executable files.
439,CM,User Installed Software,CM-11.00.03.01,The organization defines frequency to monitor policy compliance as weekly.
440,CM,User Installed Software,CM-11.00.03.02,The organization monitors policy compliance weekly.
441,CM,Alerts for Unauthorized Installation,CM-11.01.01.01,The organization defines personnel or roles to be alerted when the unauthorized installation of software is detected as system administrators. 
442,CM,Alerts for Unauthorized Installation,CM-11.01.02.01,The information system alerts system administrators when the unauthorized installation of software is detected.
443,CP,Contingency Planning Policy and Procedures ,CP-01.00.01.01,"The organization develops and documents a contingency planning policy that addresses:
1) scope
2) roles and responsibilities
3) management commitment
4) coordination among organizational entities
5) compliance"
444,CP,Contingency Planning Policy and Procedures ,CP-01.00.01.02,The organization defines personnel or roles to whom the contingency planning policy is to be disseminated as Program Offices/System Owners.
445,CP,Contingency Planning Policy and Procedures ,CP-01.00.01.03,The organization disseminates the contingency planning policy to Program Offices/System Owners.
446,CP,Contingency Planning Policy and Procedures ,CP-01.00.02.01,The organization the organization develops and documents procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls.
447,CP,Contingency Planning Policy and Procedures ,CP-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
448,CP,Contingency Planning Policy and Procedures ,CP-01.00.02.03,The organization disseminates the procedures to Program Office/System Owners.
449,CP,Contingency Planning Policy and Procedures ,CP-01.00.03.01,"The organization defines the frequency to review and update the current contingency planning policy as at least annually and as needed, respectively."
450,CP,Contingency Planning Policy and Procedures ,CP-01.00.03.02,"The organization reviews and updates the current contingency planning at least annually and as needed, respectively."
451,CP,Contingency Planning Policy and Procedures ,CP-01.00.04.01,"The organization defines the frequency to review and update the current contingency planning procedures as at least annually and as needed, respectively. "
452,CP,Contingency Planning Policy and Procedures ,CP-01.00.04.02,"The organization reviews and updates the current contingency planning procedures at least annually and as needed, respectively."
453,CP,Contingency Plan,CP-02.00.01.01,The organization develops and documents a contingency plan for the information system that identifies essential missions and business functions and associated contingency requirements.
454,CP,Contingency Plan,CP-02.00.01.02,"The organization develops and documents a contingency plan for the information system that
1) provides recovery objectives
2) provides restoration priorities
3) provides metrics"
455,CP,Contingency Plan,CP-02.00.01.03,"The organization develops and documents a contingency plan for the information system that
1) addresses contingency roles
2) addresses contingency responsibilities
3) addresses assigned individuals with contact information"
456,CP,Contingency Plan,CP-02.00.01.04,"The organization develops and documents a contingency plan for the information system that addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure."
457,CP,Contingency Plan,CP-02.00.01.05,"The organization develops and documents a contingency plan for the information system that addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented."
458,CP,Contingency Plan,CP-02.00.01.06,"The organization develops and documents a contingency plan for the information system that:
1) defines personnel or roles to review and approve the contingency plan for the information system
2) is reviewed and approved by organization-defined personnel or roles"
459,CP,Contingency Plan,CP-02.00.02.01,The organization defines key contingency personnel (identified by name and/or by role) and organizational elements to whom copies of the contingency plan are to be distributed as designated Census Bureau personnel and store in the Cyber Security Assessment and Management (CSAM) tool.
460,CP,Contingency Plan,CP-02.00.02.02,The organization distributes copies of the contingency plan to designated Census Bureau personnel and store in the Cyber Security Assessment and Management (CSAM) tool.
461,CP,Contingency Plan,CP-02.00.03.01,The organization coordinates contingency planning activities with incident handling activities. 
462,CP,Contingency Plan,CP-02.00.04.01,The organization defines a frequency to review the contingency plan for the information system as at least annually.
463,CP,Contingency Plan,CP-02.00.04.02,The organization reviews the contingency plan at least annually.
464,CP,Contingency Plan,CP-02.00.05.01,"The organization updates the contingency plan to address changes to the organization, information system, or environment of operation."
465,CP,Contingency Plan,CP-02.00.05.02,"The organization updates the contingency plan to address problems encountered during plan implementation, execution, and testing."
466,CP,Contingency Plan,CP-02.00.06.01,The organization defines key contingency personnel (identified by name and/or by role) and organizational elements to whom contingency plan changes are to be communicated as personnel identified in the system contingency plans. 
467,CP,Contingency Plan,CP-02.00.06.02,The organization communicates contingency plan changes to the key contingency personnel and organizational elements identified in the system contingency plans.
468,CP,Contingency Plan,CP-02.00.07.01,The organization protects the contingency plan from unauthorized disclosure and modification.
469,CP,Coordinate with Related Plans,CP-02.01.01.01,The organization coordinates contingency plan development with organizational elements responsible for related plans.
470,CP,Resume Essential Missions / Business Functions,CP-02.03.01.01,"The organization defines the time period to plan for the resumption of essential missions and business functions as a result of contingency plan activation, within the time frame specified in the system contingency plan. "
471,CP,Resume Essential Missions / Business Functions,CP-02.03.01.02,The organization plans for the resumption of essential missions and business functions within the time frame specified in the system contingency plan.
472,CP,Identify Critical Assets,CP-02.08.01.01,The organization identifies critical information system assets supporting essential missions and business functions.
473,CP,Contingency Plan Training,CP-03.00.01.01,The organization defines a time period within which contingency training is to be provided to information system users assuming a contingency role or responsibility as 30 days. 
474,CP,Contingency Plan Training,CP-03.00.01.02,The organization provides contingency training to information system users consistent with assigned roles and responsibilities within 30 days of assuming a contingency role or responsibility.
475,CP,Contingency Plan Training,CP-03.00.02.01,The organization provides contingency training to information system users consistent with assigned roles and responsibilities when required by information system changes.
476,CP,Contingency Plan Training,CP-03.00.03.01,The organization defines the frequency for contingency training thereafter as at least annually.
477,CP,Contingency Plan Training,CP-03.00.03.02,The organization provides contingency training to information system users consistent with assigned roles and responsibilities at least annually thereafter.
478,CP,Contingency Plan Testing,CP-04.00.01.01,The organization defines tests to determine the effectiveness of the contingency plan and the organizational readiness to execute the plan using Census Bureau tests and/or exercises.
479,CP,Contingency Plan Testing,CP-04.00.01.02,The organization defines a frequency to test the contingency plan for the information system as at least annually.
480,CP,Contingency Plan Testing,CP-04.00.01.03,"The organization tests the contingency plan for the information system with at least annually, using Census Bureau tests and/or exercise to determine the effectiveness of the plan and the organizational readiness to execute the plan."
481,CP,Contingency Plan Testing,CP-04.00.02.01,The organization reviews the contingency plan test results.
482,CP,Contingency Plan Testing,CP-04.00.03.01,The organization initiates corrective actions.
483,CP,Coordinate with Related Plans,CP-04.01.01.01,The organization coordinates contingency plan testing with organizational elements responsible for related plans.
484,CP,Alternate Storage Sites,CP-06.00.01.01,The organization establishes an alternate storage site including necessary agreements to permit the storage and retrieval of information system backup information.
485,CP,Alternate Storage Sites,CP-06.00.02.01,The organization ensures that the alternate storage site provides information security safeguards equivalent to that of the primary site.
486,CP,Separation from Primary Site,CP-06.01.01.01,The organization identifies an alternate storage site that is separated from the primary storage site to reduce susceptibility to the same threats.
487,CP,Accessibility,CP-06.03.01.01,The organization identifies potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster. 
488,CP,Accessibility,CP-06.03.02.01,The organization outlines explicit mitigation actions for such potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster.
489,CP,Alternate Processing Sites,CP-07.00.01.01,The organization defines information system operations requiring an alternate processing site to be established to permit the transfer and resumption of such operations per the system contingency plan.
490,CP,Alternate Processing Sites,CP-07.00.01.02,"The organization defines the time period consistent with recovery time objectives and recovery point objectives (as specified in the information system contingency plan) for transfer/resumption of organization-defined information system operations for essential missions/business functions, per the system contingency plan."
491,CP,Alternate Processing Sites,CP-07.00.01.03,"The organization establishes an alternate processing site including necessary agreements to permit the transfer and resumption of information system operations for essential missions/business functions, within the recovery time and recovery point objectives identified in the system contingency plan when the primary processing capabilities are unavailable."
492,CP,Alternate Processing Sites,CP-07.00.02.01,The organization ensures that equipment and supplies required to transfer and resume operations are available at the alternate processing site.
493,CP,Alternate Processing Sites,CP-07.00.02.02,The organization ensures that contracts are in place to support delivery to the site within the organization-defined time period for transfer/resumption.
494,CP,Alternate Processing Sites,CP-07.00.03.01,The organization ensures that the alternate processing site provides information security safeguards equivalent to those of the primary site.
495,CP,Separation from Primary Site,CP-07.01.01.01,The organization identifies an alternate processing site that is separated from the primary storage site to reduce susceptibility to the same threats.
496,CP,Accessibility,CP-07.02.01.01,The organization identifies potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster.
497,CP,Accessibility,CP-07.02.02.01,The organization outlines explicit mitigation actions for such potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster.
498,CP,Priority of Service,CP-07.03.01.01,The organization develops alternate processing site agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives as specified in the information system contingency plan).
499,CP,Telecommunications Services,CP-08.00.01.01,The organization defines information system operations requiring alternate telecommunications services to be established to permit the resumption of such operations per the system contingency plan.
500,CP,Telecommunications Services,CP-08.00.02.01,"The organization defines the time period to permit resumption of information system operations for essential missions and business functions, per the time period specified in the system contingency plan."
501,CP,Telecommunications Services,CP-08.00.03.01,"The organization establishes alternate telecommunications services including necessary agreements to permit the resumption of information system operations for essential missions and business functions, within the time period specified in the system contingency plan, when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites."
502,CP,Priority of Service Provisions,CP-08.01.01.01,The organization develops primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with Census Bureau availability requirements (including recovery time objectives).
503,CP,Priority of Service Provisions,CP-08.01.02.01,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary and/or alternate telecommunications services are provided by a common carrier.
504,CP,Single Points of Failure,CP-08.02.01.01,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.
505,CP,Information System Backup,CP-09.00.01.01,"The organization defines a frequency of at least weekly, consistent with recovery time objectives and recovery point objectives as specified in the information system contingency plan, to conduct backups of user-level information contained in the information system."
506,CP,Information System Backup,CP-09.00.01.02,The organization conducts backups of user-level information contained in the information system at least weekly.
507,CP,Information System Backup,CP-09.00.02.01,"The organization defines a frequency of at least weekly, consistent with recovery time objectives and recovery point objectives as specified in the information system contingency plan, to conduct backups of system-level information contained in the information system."
508,CP,Information System Backup,CP-09.00.02.02,The organization backs up system-level information at least weekly.
509,CP,Information System Backup,CP-09.00.03.01,"The organization defines a frequency of at least weekly, consistent with recovery time objectives and recovery point objectives as specified in the information system contingency plan, to conduct backups of information system documentation including security-related documentation."
510,CP,Information System Backup,CP-09.00.03.02,"The organization conducts backups of information system documentation, including security-related documentation, at least weekly."
511,CP,"Information System Backup, Enhancement 1",CP-09.00.04.01,"The organization protects the confidentiality, integrity, and availability of backup information at storage locations."
512,CP,Testing for Reliability / Integrity,CP-09.01.01.01,The organization defines the frequency to test backup information to verify media reliability and information integrity as at least annually.
513,CP,Testing for Reliability / Integrity,CP-09.01.02.01,The organization tests backup information at least annually to verify media reliability and information integrity.
514,CP,Information System Recovery and Reconstitution,CP-10.00.01.01,The organization provides for the recovery of the information system to a known state after a disruption.
515,CP,Information System Recovery and Reconstitution,CP-10.00.01.02,The organization provides for the recovery of the information system to a known state after a compromise.
516,CP,Information System Recovery and Reconstitution,CP-10.00.01.03,The organization provides for the recovery of the information system to a known state after a failure.
517,CP,Information System Recovery and Reconstitution,CP-10.00.02.01,The organization provides for the reconstitution of the information system to a known state after a disruption.
518,CP,Information System Recovery and Reconstitution,CP-10.00.02.02,The organization provides for the reconstitution of the information system to a known state after a compromise.
519,CP,Information System Recovery and Reconstitution,CP-10.00.02.03,The organization provides for the reconstitution of the information system to a known state after a failure.
520,CP,Transaction Recovery,CP-10.02.01.01,The information the information system implements transaction recovery for systems that are transaction-based
521,IA,Identification and Authentication Policy and Procedures ,IA-01.00.01.01,"The organization develops and documents an identification and authentication policy that addresses:
1) purpose
2) scope
3) roles
4) responsibilities
5) management commitment
6) coordination among organizational entities
7) compliance"
522,IA,Identification and Authentication Policy and Procedures ,IA-01.00.01.02,The organization defines personnel or roles to whom the identification and authentication policy is to be disseminated as Program Offices/System Owners.
523,IA,Identification and Authentication Policy and Procedures ,IA-01.00.01.03,The organization disseminates the identification and authentication policy to Program Offices/System Owners.
524,IA,Identification and Authentication Policy and Procedures ,IA-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the identification and authentication policy and associated identification and authentication controls.
525,IA,Identification and Authentication Policy and Procedures ,IA-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
526,IA,Identification and Authentication Policy and Procedures ,IA-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners.
